Draft Class,Name,School,Position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,60Yd Shuttle
2018,Timon Parris,Stony Brook (NY),OT,77.63,312,9.38,33.875,,5.57,27,,,5.07,8.39,
2018,Martinas Rankin,Mississippi State,OT,76.38,308,10.13,33.75,,,24,29,108,,,
2018,Will Richardson,North Carolina State,OT,77.63,306,9.88,35.25,,5.22,16,31.5,108,4.83,7.8,
2018,Greg Senat,Wagner (NY),OT,78.25,302,9.88,34.875,,5.37,19,26,106,4.71,7.41,
2018,DeVondre Seymour,Southern Illinois,OT,77.88,299,9.88,36.5,,5.27,16,25,108,4.91,8.09,
2018,Brandon Smith,East Carolina (NC),OT,78.38,316,9.5,36.25,,5.47,26,30,101,4.88,8.31,
2018,Bentley Spain,North Carolina,OT,77.75,305,,,,,,,,,,
2018,Brett Toth,Army,OT,77.75,291,10.25,33.375,,5.14,16,25,103,4.75,7.4,
2018,Toby Weathersby,Louisiana State,OT,76.38,317,10.25,33.25,,5.34,28,24.5,106,5.38,8.55,
2018,Connor Williams,Texas,OT,77.13,296,10.5,33,,5.05,26,34,112,4.63,7.83,
2017,Erik Austell,Charleston Southern,OT,75.13,301,9,32,,5.23,24,27.5,107,4.9,8.13,
2017,Zach Banner,Southern California,OT,80.38,353,10.75,34.88,,5.58,22,23.5,92,5.21,8.31,
2017,Adam Bisnowaty,Pittsburgh,OT,77.63,304,11.38,33.88,,5.23,23,29.5,96,4.94,8.02,
2017,Garett Bolles,Utah,OT,77.25,297,9.38,34,9,4.95,,28,115,4.55,7.29,
2017,Daniel Brunskill,San Diego State,OT,77.13,273,9.88,33.88,,5.2,17,28,106,4.84,7.9,
2017,Jemar Clark,Arkansas State,OT,77.25,300,10.63,35.75,,,28,25,92,,,
2017,Aviante Collins,Texas Christian,OT,76.25,295,9.38,33.38,,4.81,34,24,102,4.73,7.85,
2017,Julie'n Davenport,Bucknell (PA),OT,78.75,318,10.5,36.5,28,5.45,18,27,106,4.69,7.57,
2017,Andrew Eide,Brigham Young,OT,76.63,302,9.13,31.625,,5.2,33,30.5,113,4.7,7.93,
2017,Antonio Garcia,Troy (AL),OT,78.38,302,9.88,33.38,,5.15,24,31,108,4.94,7.98,
2017,Avery Gennesy,Texas A&M,OT,75,318,9.5,33.63,,5.35,24,20,91,5,8.08,
2017,Will Holden,Vanderbilt,OT,79.38,311,10.13,33.25,,5.45,23,28,111,4.72,7.71,
2017,Roderick Johnson,Florida State,OT,78.63,298,10.75,36,23,4.9,21,29.5,103,5.17,7.92,
2017,Dieugot Joseph,Florida International,OT,77.75,293,10.63,35.625,,5.21,21,31,102,4.87,7.83,
2017,Conor McDermott,UCLA,OT,80.13,307,11,34.75,,5.18,22,28.5,105,4.58,7.52,
2017,Kwayde Miller,San Diego State,OT,79.25,303,9.25,32.875,,5.24,21,32,107,4.63,7.5,
2017,Levon Myers,Northern Illinois,OT,76.75,309,9.88,33.25,,5.41,24,26.5,102,5.06,7.52,
2017,Kent Perkins,Texas,OT,76.63,320,9.88,35.75,,5.28,35,30.5,106,4.69,8.06,
2017,Jonah Pirsig,Minnesota,OT,79.88,314,10.13,32.625,,5.38,20,27,102,4.87,7.87,
2017,Ryan Ramczyk,Wisconsin,OT,77.75,310,10.88,33.75,20,,25,,,4.82,,
2017,Cam Robinson,Alabama,OT,77.75,322,10.5,35.5,16,5.15,,26,106,4.82,7.81,
2017,Victor Salako,Oklahoma State,OT,77.63,335,9.38,34.5,,5.47,24,23,96,4.78,8.47,
2017,Austin Schmidt,Illinois,OT,77.38,298,10.38,34.875,,5.56,17,30.5,103,4.69,7.55,
2017,Brad Seaton,Villanova,OT,80.63,329,10.25,34.25,,5.37,24,26,105,5,7.84,
2017,Justin Senior,Mississippi State,OT,76.63,331,10.25,34,,5.55,21,23,98,5.06,8.19,
2017,David Sharpe,Florida,OT,77.75,343,10,35.38,,5.44,19,20.5,97,4.78,7.87,
2017,Dan Skipper,Arkansas,OT,81.63,309,10.5,33.38,,5.42,19,26,97,5.01,7.61,
2017,Dustin Stanton,Oregon State,OT,77.63,298,9,32.375,,5.19,18,30,109,4.65,7.85,
2017,Sam Tevi,Utah,OT,77,311,10.13,34,,5.27,15,26,107,4.6,7.84,
2017,Jerry Ugokwe,William & Mary (VA),OT,79.25,321,10.38,35.38,,5.61,18,26,103,5.17,8.35,
2017,Jylan Ware,Alabama State,OT,79.5,317,9.75,33.5,,4.99,,29,113,4.7,7.96,
2017,Chad Wheeler,Southern California,OT,78.63,306,9.5,33.125,,5.42,15,20.5,105,5.01,7.95,
2017,Darrell Williams,Western Kentucky,OT,77.25,315,9.5,33,,5.24,25,29,99,4.93,7.81,
2016,Willie Beavers,Western Michigan,OT,76.63,321,9.5,33.5,,5.28,20,25.5,103,4.71,7.96,
2016,Adrian Bellard,Texas State,OT,76.75,301,9.63,34.625,,5.49,15,26,93,5.03,8.08,
2016,Caleb Benenoch,UCLA,OT,77.5,311,10,34.5,,4.98,,28,104,5.11,8.15,
2016,LeRaven Clark,Texas Tech,OT,77.25,316,11.88,36.13,,5.16,18,30,109,,,
2016,Shon Coleman,Auburn,OT,77.5,307,10.63,35.13,,,22,,,,,
2016,Jack Conklin,Michigan State,OT,77.75,308,10.38,35,,5,25,30,103,4.57,7.63,
2016,Fahn Cooper,Mississippi,OT,76.5,303,10,34.75,,5.17,19,25,102,4.89,7.85,
2016,Taylor Decker,Ohio State,OT,79,310,10,33.75,,5.23,20,29,101,4.76,7.7,
2016,Joe Haeg,North Dakota State,OT,78,304,9.63,33.75,,5.16,,27.5,111,4.47,7.47,
2016,Jerald Hawkins,Louisiana State,OT,77.63,305,9.63,34.25,,5.23,23,23.5,100,4.89,8.19,
2016,Germain Ifedi,Texas A&M,OT,77.75,324,10.75,36,,5.27,24,32.5,109,4.75,,
2016,Dominick Jackson,Alabama,OT,77,313,9.75,33,,5.48,20,26,97,,,
2016,Tyler Johnstone,Oregon,OT,77.5,301,10.38,34,,5.21,24,30.5,104,4.6,7.31,
2016,Alex Lewis,Nebraska,OT,78,312,10,34,,5.22,27,29.5,100,4.72,7.94,
2016,Tyler Marz,Wisconsin,OT,78.75,316,10,33.5,,5.54,19,27.5,99,4.97,8.38,
2016,Kyle Murphy,Stanford,OT,78.38,305,9.75,33.5,,,23,,,,,
2016,Stephane Nembot,Colorado,OT,78.75,322,10.75,34.63,,5.39,32,26.5,103,5.15,8.55,
2016,Dominique Robertson,West Georgia,OT,76.63,324,10.38,36,,5.36,30,28.5,100,4.83,8.42,
2016,Wes Schweitzer,San Jose State,OT,76,300,10.5,32.625,,5.15,28,27.5,108,4.73,7.8,
2016,Brandon Shell,South Carolina,OT,77.38,324,10.75,34.75,,5.22,22,30.5,112,4.62,7.62,
2016,Pearce Slater,San Diego State,OT,78.75,329,10,35.25,,5.42,17,23,92,5.12,8.36,
2016,Jason Spriggs,Indiana,OT,77.63,301,10.13,34.13,,4.94,31,31.5,115,4.44,7.7,
2016,Ronnie Stanley,Notre Dame,OT,77.75,312,10.63,35.63,,5.2,24,28.5,,4.9,8.03,
2016,Jordan Swindle,Kentucky,OT,78.63,313,9.75,34.5,,5.4,22,29,113,4.97,8.29,
2016,John Theus,Georgia,OT,78.5,313,10.13,34.5,,5.22,19,28,103,4.78,7.9,
2016,Cole Toner,Harvard,OT,77.25,306,9.75,33.13,,5.32,22,26,103,4.59,7.88,
2016,Laremy Tunsil,Mississippi,OT,77,310,10,34.25,,,34,28.5,111,,,
2016,Halapoulivaati Vaitai,Texas Christian,OT,78,320,10.63,34.25,,5.26,23,29,113,5,8.26,
2016,Avery Young,Auburn,OT,76.63,328,10.5,33.75,,5.39,20,25,97,4.91,8.22,
2015,Darryl Baldwin,Ohio State,OT,77.63,305,9.88,35,,4.96,30,30.5,106,4.64,7.39,
2015,Jermaine Barton,Illinois State,OT,78.63,315,10.38,34.75,,5.38,,,,,,
2015,Mickey Baucus,Arizona,OT,78.5,309,10.25,32.625,,5.33,25,31.5,91,4.83,7.63,
2015,Seth Betancourt,Boston College,OT,77,300,9.75,34,,5.16,23,26.5,98,4.87,7.97,
2015,Jamon Brown,Louisville,OT,75.63,323,9.75,34.38,,5.44,,28,103,4.61,7.36,
2015,Trent Brown,Florida,OT,80.5,355,10.88,36,,5.29,20,23.5,97,4.78,8.23,
2015,Tyson Chandler,North Carolina State,OT,77.75,354,10,36.625,,5.42,31,27.5,110,4.87,7.93,
2015,Blaine Clausell,Mississippi State,OT,78.13,329,11,33.375,,5.37,23,27,97,4.79,7.92,
2015,Cameron Clear,Texas A&M,OT,77.38,277,9.63,33.63,,4.98,,32,108,4.48,7.52,12.07
2015,T.J. Clemmings,Pittsburgh,OT,76.75,309,10.38,35.13,,5.14,22,32.5,111,4.54,7.68,
2015,Cameron Clemmons,Western Kentucky,OT,78.25,300,10,33.875,,5.28,14,24,87,4.94,8.03,
2015,Takoby Cofield,Duke,OT,76.25,310,10,34,,5.19,23,30,101,4.79,8.09,
2015,La`el Collins,Louisiana State,OT,76.5,305,10.38,33.25,12,5.12,21,27,108,4.63,7.7,
2015,Brey Cook,Arkansas,OT,77.38,317,9.38,32.25,,5.29,32,20.5,95,5.03,,
2015,Rob Crisp,North Carolina State,OT,78.63,301,10,34.5,,5.26,26,32.5,107,4.6,8.07,
2015,Andrew Donnal,Iowa,OT,77.88,313,10,33.5,,5.31,17,32,101,4.77,7.84,
2015,Sean Donnelly,Tulane (LA),OT,80.13,317,10.13,34.125,,5.47,19,26,104,4.84,8.41,
