Draft Class,Name,School,Position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,60Yd Shuttle,Rec,Yds,Avg,TD,YP,Games Played
2010,Golden Tate,Notre Dame,WR,70.25,199,9.25,30.5,,4.42,17,35,120,4.34,7.12,,157,2707,17.2,26,3,37
2010,Demaryius Thomas,Georgia Tech,WR,75.25,224,10.5,33,,,,,,,,,120,2339,19.5,15,3,39
2010,Tim Toone,Weber State (UT),WR,70.25,185,,,,4.46,12,34.5,117,4.3,6.86,,,,,,,
2010,Verran Tucker,California,WR,73.63,200,9.25,33.25,,4.69,5,35,118,4.13,6.98,,50,815,16.3,4,2,24
2010,Roberto Wallace,San Diego State,WR,75.88,223,,,,4.52,18,35,120,4.16,6.91,,73,940,12.9,4,3,32
2010,Joe Webb,Alabama-Birmingham,WR,74.75,223,,,,4.48,20,41,134,4.08,6.82,,32,471,14.7,4,4,37
2010,Chastin West,Frenso State (CA),WR,72.38,212,9.88,32.75,,4.61,15,33.5,113,4.46,7.23,,81,1051,13,6,3,38
2010,Blair White,Michigan State,WR,74.25,209,9.25,31.5,,4.49,18,33.5,115,4.03,6.69,11.07,116,1674,14.4,10,3,36
2010,Damian Williams,Southern California,WR,72.63,197,9.25,31.75,,4.52,19,38,118,4.24,6.79,,147,2114,14.4,17,3,38
2010,Jeremy Williams,Tulane (LA),WR,72.13,206,10,31.5,,4.59,14,36,117,4.35,6.73,,197,2807,14.2,19,4,40
2010,Kyle Williams,Arizona State,WR,70,188,9.13,30,,4.4,11,33,118,4.19,7,,109,1626,14.9,18,4,41
2010,Mike Williams,Syracuse,WR,73.5,221,9.25,32.5,,4.53,8,33.5,116,4.31,6.9,,133,2044,15.4,20,3,29
2010,Stephen Williams,Toledo,WR,76.5,210,9.13,33.25,,4.5,15,36.5,125,4.11,6.81,,229,3102,13.5,21,4,46
2010,Ryan Wolfe,Nevada Las Vegas,WR,73,205,9.5,32.5,,,13,32,115,,,,283,3495,12.3,15,4,47
